Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds)
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,,,,,,,,,,400.0,40.0,[1484.7336032388664],"[999, 1999]",,,00:00:05,5.0
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,,,,,,,,,,400.0,80.0,[1484.7336032388664],"[999, 1999]",,,00:00:05,5.0
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,,,,,,,,,,400.0,120.0,[1484.7336032388664],"[999, 1999]",,,00:00:05,5.0
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,,,,,,,,,,400.0,160.0,[1484.7336032388664],"[999, 1999]",,,00:00:05,5.0
Zheng DBSCAN,Ostovar,Composite_IOR_output_IOR_2,,,,,,,,,,400.0,200.0,[1484.7336032388664],"[999, 1999]",,,00:00:05,5.0
Bose J,Ceravolo,sudden_trace_noise5_1000_re,400.0,2.0,,,,,,,,,,[],[499],,,00:00:20,20.0
Bose WC,Ceravolo,sudden_trace_noise5_1000_re,400.0,2.0,,,,,,,,,,[],[499],,,00:00:13,13.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,,,,,,,,700.0,70.0,[1505.9709251101322],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,,,,,,,,700.0,140.0,[1505.9709251101322],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,,,,,,,,700.0,210.0,[1505.9709251101322],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,,,,,,,,700.0,280.0,[1505.9709251101322],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,,,,,,,,700.0,350.0,[1505.9709251101322],"[999, 1999]",,,00:00:07,7.0
Bose J,Ostovar,Atomic_Loop_output_Loop_5,100.0,2.0,,,,,,,,,,"[944, 1954]","[999, 1999]",1.0,50.0,00:15:50,950.0
Bose WC,Ostovar,Atomic_Loop_output_Loop_5,100.0,2.0,,,,,,,,,,"[908, 1930]","[999, 1999]",1.0,80.0,00:13:58,838.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,,,,,,,,700.0,70.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,,,,,,,,700.0,140.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,,,,,,,,700.0,210.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,,,,,,,,700.0,280.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,,,,,,,,700.0,350.0,[],[499],,,00:00:00,0.0
Bose J,Ceravolo,sudden_trace_noise15_1000_cb,500.0,2.0,,,,,,,,,,[],[499],,,00:00:07,7.0
