Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),pen_scale
Bose WC,Ostovar,Atomic_Loop_output_Loop_5,100,2,,,,,,,,,,"[908, 1930]","[999, 1999]",1,80,0:13:58,838,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,,,,,,,,700,70,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,,,,,,,,700,140,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,,,,,,,,700,210,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,,,,,,,,700,280,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_IOR,,,,,,,,,,700,350,[],[499],,,0:00:00,0,
Bose J,Ceravolo,sudden_trace_noise15_1000_cb,500,2,,,,,,,,,,[],[499],,,0:00:07,7,
Bose WC,Ceravolo,sudden_trace_noise15_1000_cb,500,2,,,,,,,,,,[],[499],,,0:00:03,3,
Earth Mover's Distance,Ostovar,Composite_OIR_output_OIR,100,2,,,,,,,,,,"[950, 1588, 1938, 2770]","[999, 1999]",0.666666667,55,0:07:12,432,
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO,,,,,,,,,,500,50,"[968.5555555555555, 1773.0, 1910.2608695652175]","[999, 1999]",0.8,59.59178744,0:00:09,9,
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO,,,,,,,,,,500,100,"[968.5555555555555, 1904.5416666666667]","[999, 1999]",1,62.45138889,0:00:09,9,
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO,,,,,,,,,,500,150,"[968.5555555555555, 1904.5416666666667]","[999, 1999]",1,62.45138889,0:00:09,9,
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO,,,,,,,,,,500,200,"[968.5555555555555, 1904.5416666666667]","[999, 1999]",1,62.45138889,0:00:09,9,
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO,,,,,,,,,,500,250,"[968.5555555555555, 1904.5416666666667]","[999, 1999]",1,62.45138889,0:00:09,9,
ProDrift,Ostovar,Atomic_Swap_output_Swap,200,2,,,,,,,,,,[],"[999, 1999]",,,0:10:28,628,
Bose J,Ceravolo,sudden_trace_noise10_1000_OIR,500,2,,,,,,,,,,[],[499],,,0:00:08,8,
Bose WC,Ceravolo,sudden_trace_noise10_1000_OIR,500,2,,,,,,,,,,[],[499],,,0:00:04,4,
Bose J,Ostovar,Atomic_Loop_output_Loop_2,100,2,,,,,,,,,,"[956, 1934, 2310]","[999, 1999]",0.8,54,0:15:35,935,
Bose WC,Ostovar,Atomic_Loop_output_Loop_2,100,2,,,,,,,,,,"[908, 1930]","[999, 1999]",1,80,0:13:46,826,
Bose J,Ostovar,Nested_IOR_output_IOR_5,300,2,,,,,,,,,,"[950, 1932]","[999, 1999]",1,58,0:31:20,1880,
Bose WC,Ostovar,Nested_IOR_output_IOR_5,300,2,,,,,,,,,,"[924, 1958]","[999, 1999]",1,58,0:32:39,1959,
Earth Mover's Distance,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,400,2,,,,,,,,,,"[982, 1768]","[999, 1999]",0.5,17,0:29:41,1781,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO,,,,,,,,,,500,50,"[948.0666666666667, 1943.5714285714287]","[999, 1999]",1,53.18095238,0:00:06,6,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO,,,,,,,,,,500,100,"[948.0666666666667, 1943.5714285714287]","[999, 1999]",1,53.18095238,0:00:06,6,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO,,,,,,,,,,500,150,"[948.0666666666667, 1943.5714285714287]","[999, 1999]",1,53.18095238,0:00:06,6,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO,,,,,,,,,,500,200,"[948.0666666666667, 1943.5714285714287]","[999, 1999]",1,53.18095238,0:00:06,6,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO,,,,,,,,,,500,250,"[948.0666666666667, 1943.5714285714287]","[999, 1999]",1,53.18095238,0:00:06,6,
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI,,,,,,,,,,400,40,"[948.6, 1068.0, 1927.3]","[999, 1999]",0.8,61.05,0:00:06,6,
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI,,,,,,,,,,400,80,"[959.4545454545455, 1927.3]","[999, 1999]",1,55.62272727,0:00:06,6,
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI,,,,,,,,,,400,120,"[959.4545454545455, 1927.3]","[999, 1999]",1,55.62272727,0:00:06,6,
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI,,,,,,,,,,400,160,"[959.4545454545455, 1927.3]","[999, 1999]",1,55.62272727,0:00:06,6,
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI,,,,,,,,,,400,200,"[959.4545454545455, 1927.3]","[999, 1999]",1,55.62272727,0:00:06,6,
Earth Mover's Distance,Ostovar,Nested_OIR_output_OIR_2,600,2,,,,,,,,,,"[950, 1954]","[999, 1999]",1,47,0:56:21,3381,
ProDrift,Ceravolo,sudden_trace_noise0_1000_RIO,150,2,,,,,,,,,,[444],[499],1,55,0:00:08,8,
Bose J,Ostovar,Composite_OIR_output_OIR_5,500,2,,,,,,,,,,"[926, 1952]","[999, 1999]",1,60,0:26:11,1571,
Bose WC,Ostovar,Composite_OIR_output_OIR_5,500,2,,,,,,,,,,"[930, 1994]","[999, 1999]",1,37,0:31:17,1877,
Bose J,Ostovar,Atomic_Loop_output_Loop,100,2,,,,,,,,,,"[944, 1934]","[999, 1999]",1,60,0:12:12,732,
Bose WC,Ostovar,Atomic_Loop_output_Loop,100,2,,,,,,,,,,"[908, 1930]","[999, 1999]",1,80,0:09:49,589,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,,,,,,,,,,800,80,[1486.6426931905125],"[999, 1999]",,,0:00:07,7,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,,,,,,,,,,800,160,[1486.6426931905125],"[999, 1999]",,,0:00:07,7,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,,,,,,,,,,800,240,[1486.6426931905125],"[999, 1999]",,,0:00:07,7,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,,,,,,,,,,800,320,[1486.6426931905125],"[999, 1999]",,,0:00:07,7,
Zheng DBSCAN,Ostovar,Composite_IRO_output_IRO_5,,,,,,,,,,800,400,[1486.6426931905125],"[999, 1999]",,,0:00:07,7,
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_OIR,,,,,,,,,,800,80,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_OIR,,,,,,,,,,800,160,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_OIR,,,,,,,,,,800,240,[],[499],,,0:00:00,0,
